time,trunk_yaw,trunk_pitch,trunk_roll,throw_shoulder_yaw,throw_shoulder_pitch,throw_shoulder_roll,throw_elbow_flex,glove_shoulder_yaw,glove_shoulder_pitch,glove_shoulder_roll,glove_elbow_flex,rear_hip_yaw,rear_hip_pitch,rear_hip_roll,rear_knee_flex,rear_ankle_flex,lead_hip_yaw,lead_hip_pitch,lead_hip_roll,lead_knee_flex,lead_ankle_flex
1.6917,-594.2828589206986,-747.9179532469245,-615.9885478504232,-140.49180922105117,-55.41275327501944,111.86454768385907,-101.04773469781271,-9.073958087893658,123.90420969629893,11.886841177488735,34.1913999154544,484.33468881210035,-4657.957880947011,1283.0933749098342,-2819.6626967166226,-219.07593452256512,4466.3637355144065,9708.207571518213,178.3279925996209,3498.9153286932183,535.7033777319424
1.6926997722095671,-592.7839929003472,-739.0716991690015,-615.1261818572458,-140.57833381910552,-54.588368754644385,112.7007483499561,-102.41577626379967,-9.325820397150927,124.97317700234791,11.872393417871312,34.55825066081816,380.85524531684564,-4642.98549601171,1408.421616241705,-2801.8254167832397,-227.2492560426168,4139.617764475202,9366.209257910456,-155.84603348424892,3268.120828875176,529.8187799333449
1.6936995444191343,-609.1858146314355,-753.0786256196841,-631.4874753122965,-142.92133840669456,-55.52844555596241,117.67308565268611,-106.63118985273458,-10.205544443663051,130.18505689070537,12.45293069469751,36.114108920888064,70.52672042175973,-4749.303168852985,1847.1699879832868,-2843.8628109325514,-236.33872871170206,3251.480402937603,8225.835229222499,-856.447838447943,2534.299782177248,492.0224335409096
1.6946993166287017,-626.1512469933803,-766.8010019243914,-648.3315201400901,-144.3863776620626,-56.35806807658557,124.1922025173989,-112.15072379167344,-11.217485903573063,136.43444767598362,13.231006643402377,37.994398292389015,-354.1121997601815,-4899.1802871455775,2439.7260826261563,-2906.622300795632,-244.74608501322174,2019.6676069794466,6640.87450446177,-1813.854591401867,1542.3518169049694,436.29342143520864
1.6956990888382688,-644.542790124641,-782.5114402778197,-666.5915271818178,-145.20468938187042,-56.88654770187744,132.2939284641443,-119.05832672966663,-12.44966252123287,143.8457681842247,14.195515946946541,40.24864158725144,-871.0552690534721,-5096.0931856593115,3154.156876678764,-3000.8483134509806,-243.20746549266894,456.4305099590072,4634.409655419739,-3025.4977185191974,307.90176020233855,363.7172441784403
1.696698861047836,-665.0113544509986,-814.8920913179476,-683.7859629147335,-144.12415693866959,-57.23253679380786,141.63835052553432,-127.57404821955305,-12.924004519668355,152.7401284537662,15.396707600170405,42.76932553340753,-1400.1905357729095,-5354.916947336161,3881.989555509511,-3153.9313007570354,-211.51431282627934,-1306.8975050705224,2507.5027697502733,-4488.214867542567,-942.6821892969582,312.9234710554642
1.6976986332574031,-665.2896388169116,-819.4305088915816,-681.2272696493001,-137.68401021894746,-55.11412172921008,148.68453467722318,-134.05828448864423,-12.746858975606367,158.4941655699829,16.36624988575428,44.41308894692126,-1831.9714428992088,-5540.979222743103,4420.2397152310705,-3266.6815673740957,-182.12313718913157,-2901.8598074707274,753.9738154313459,-5900.655488624138,-1904.4240450791015,290.0416831088275
1.6986984054669703,-650.6895147605014,-808.6164839990894,-653.622541231764,-126.08656891126333,-51.24778771914321,153.152508028523,-138.49071986353303,-12.543643970529486,161.1661598835261,17.061505549244625,45.51513361001086,-2161.032660929954,-5718.316818826066,4810.7459494411405,-3377.2002479642833,-159.7932273361116,-4227.613756747349,-636.7869559121543,-7108.836621528739,-2617.326799435952,273.1092025527888
1.6996981776765376,-606.6524424275354,-740.271696281461,-614.9192141310641,-110.20442763730179,-45.5193902616345,153.37377481501017,-139.46954555341924,-11.714083148354012,159.2263880929746,17.218384314966286,45.01076932812576,-2315.9679699492135,-5801.342922431172,4930.225350511233,-3430.671417440023,-148.37712721388732,-4747.183402976453,-945.1252001447464,-7712.7266030539695,-2681.4360126458782,260.3624340594382
1.7006979498861048,-537.6157071136299,-639.5683147204421,-553.9814038946525,-89.35552737165895,-38.51795925151527,148.98102972222912,-136.98904715309695,-9.66054743044348,152.87734633658607,16.858835886796584,43.04073867249471,-2279.196732245288,-5788.633553913885,4760.613382865338,-3423.714313667188,-151.30612131635968,-4866.900365439799,-968.3367631296079,-7835.266943608617,-2585.7763112060547,252.10715974149173
